Genus
Abies
Afzelia
Aldina
Alfaroa
Allosyncarpia
Allotropa
Alnus
Anisoptera
Anthonotha
Aphanocalyx
Arbutus
Arctostaphylos
Arctous
Berlinia
Betula
Bikinia
Blackallia
Brachystegia
Carpinus
Carya
Castanea
Castanopsis
Cathaya
Cedrus
Chamaebatia
Cheilotheca
Chimaphila
Chrysolepis
Cistus
Coccoloba
Colombobalanus
Comarostaphylis
Corylus
Cotylelobium
Craigia
Crocanthemum
Cryptandra
Cryptosepalum
Cyclobalanopsis
Dicymbe
Didelotia
Dipterocarpus
Dithyrostegia
Dryas
Dryobalanops
Engelhardia
Englerodendron
Eremolaena
Fagus
Formanodendron
Fumana
Gilbertiodendron
Gnetum
Guapira
Gymnopodium
Halimium
Helianthemum
Hemitomes
Hopea
Hudsonia
Icuria
Intsia
Isoberlinia
Isomacrolobium
Julbernardia
Keteleeria
Kobresia bellardii
Kobresia capillifolia
Kobresia filicina
Kobresia myosuroides
Larix
Lechea
Leptolaena
Librevillea
Lithocarpus
Marquesia
Mediusella
Michelsonia
Microberlinia
Moneses
Monopetalanthus
Monotes
Monotropa
Monotropastrum
Monotropsis
Neea
Neobalanocarpus
Nothofagus
Notholithocarpus
Nothotsuga
Oddoniodendron
Oreomunnea
Ornithostaphylos
Orthilia
Ostrya
Ostryopsis
Pakaraimaea
Papistylus
Paramacrolobium
Parashorea
Pasania
Pellegriniodendron
Pentachlaena
Perrierodendron
Persicaria vivipara
Picea
Pinus
Pityopus
Pleuricospora
Polianthion
Pomaderris
Pseudolarix
Pseudomacrolobium
Pseudomonotes
Pseudotsuga
Pterospora
Pyrola
Quercus
Rhodolaena
Sarcodes
Sarcolaena
Schizolaena
Serichonus
Shorea
Siegfriedia
Spyridium
Stemonoporus
Stenanthemum
Tetraberlinia
Ticodendron
Tilia
Toubaouate
Trigonobalanus
Trymalium
Tsuga
Tuberaria
Upuna
Vateria
Vateriopsis
Vatica
Xerochlamys
Xylococcus
Xyloolaena
