Genus
Aaronsohnia
Abarema
Abatia
Abeliophyllum
Abelmoschus
Abobra
Abroma
Abrophyllum
Abrotanella
Abrus
Abuta
Abutilon
Acaciella
Acaena
Acalypha
Acamptopappus
Acantharia
Acanthella
Acanthinopsis
Acanthocalycium
Acanthocarpus
Acanthocephalus
Acanthocereus
Acanthochlamys
Acanthocladus
Acanthodesmos
Acanthogilia
Acantholepis
Acantholippia
Acanthomintha
Acanthophoenix
Acanthoprasium
Acanthosalpingolobivia
Acanthosicyos
Acanthospermum
Acanthostyles
Acanthothamnus
Acareosperma
Acaulimalva
Acca
Accara
Acer
Aceratium
Acharagma
Acharia
Achillea
Achimenes
Achlys
Achnatherum
Achnophora
Achnopogon
Achuaria
Achyrachaena
Achyrocline
Achyropappus
Achyrospermum
Aciachne
Acicarpha
Acidocroton
Acidosasa
Acidoton
Acinodendron
Acioa
Aciotis
Aciphylla
Acis
Acisanthera
Ackama
Acmadenia
Acmanthera
Acmella
Acmena
Acmispon
Acmopyle
Acnistus
Acoelorrhaphe
Acokanthera
Acomastylis
Aconitum
Acosmium
Acostia
Acourtia
Acrachne
Acradenia
Acranthera
Acridocarpus
Acrisione
Acritochaete
Acritopappus
Acrobotrys
Acrocarpus
Acroceras
Acrocomia
Acronema
Acronychia
Acropelta
Acrophorus
Acrophyllum
Acropogon
Acrorumohra
Acrosorus
Acrostichum
Acrosynanthus
Acrotome
Acrotrema
Acrymia
Actaea
Actinanthus
Actinidia
Actiniopteris
Actinobole
Actinocephalus
Actinocheita
Actinocladum
Actinodaphne
Actinokentia
Actinolema
Actinorhytis
Actinostachys
Actinostemma
Actinostemon
Actinostrobus
Actinotus
Acunaeanthus
Acystopteris
Adansonia
Adelia
Adelobotrys
Adelostigma
Adelphacme
Adelphia
Adenandra
Adenanthellum
Adenanthera
Adenaria
Adenia
Adenium
Adenoa
Adenocalymma
Adenocarpus
Adenocaulon
Adenochlaena
Adenocline
Adenocritonia
Adenodaphne
Adenoderris
Adenodolichos
Adenoglossa
Adenolobus
Adenoon
Adenopeltis
Adenophaedra
Adenophora
Adenophorus
Adenophyllum
Adenopodia
Adenorandia
Adenosciadium
Adenostemma
Adenothamnus
Adesmia
Adhunia
Adiantopsis
Adiantum
Adina
Adinandra
Adiscanthus
Adolphia
Adonidia
Adonis
Adriana
Aedesia
Aegiceras
Aegilops
Aegilotriticum
Aegiphila
Aegle
Aeglopsis
Aegokeras
Aegopodium
Aenigmatanthera
Aenigmopteris
Aeollanthus
Aequatorium
Aeschynanthus
Aeschynomene
Aesculus
Aetheolaena
Aetheorhiza
Aethusa
Aetoxylon
Aextoxicon
Afgekia
Afraegle
Aframmi
Aframomum
Afraurantium
Afrocalathea
Afrocalliandra
Afrocanthium
Afrocarpus
Afroguatteria
Afrohybanthus
Afrolicania
Afroligusticum
Afropteris
Afroqueta
Afrosciadium
Afrostyrax
Afrothismia
Afrotrewia
Afrotrichloris
Agalmyla
Aganonerion
Aganope
Aganosma
Agapanthus
Agastache
Agasthiyamalaia
Agasyllis
Agatea
Agathis
Agathisanthemum
Agathosma
Agave
Agelaea
Agenium
Ageratella
Ageratina
Ageratinastrum
Ageratum
Aglaia
Aglaonema
Aglaonema connatum
Agnesia
Agoseris
Agouticarpa
Agrianthus
Agrimonia
Agrocalamagrostis
Agropogon
Agropyron
Agropyropsis
Agrostis
Agrostistachys
Agrostocrinum
Agrostopoa
Aguiaria
Ahernia
Aidia
Aidiopsis
Ailanthus
Ainsliaea
Aiouea
Aiphanes
Airopsis
Airosperma
Airyantha
Aistopetalum
Ajania
Ajaniopsis
Ajuga
Ajugoides
Akania
Akeassia
Akebia
Akrosida
Akschindlium
Alafia
Alangium
Alania
Alantsilodendron
Alatococcus
Alatoseta
Alberta
Albertinia
Albertisia
Albizia
Albuca
Alcalthaea
Alcea
Alchemilla
Alchornea
Alchorneopsis
Aldama
Alectryon
Aleisanthia
Aleisanthiopsis
Alepidea
Alepidocline
Aletris
Aleurites
Aleuritopteris
Alexa
Alexfloydia
Alfredia
Algernonia
Algrizea
Alhagi
Alibertia
Alicia
Aliciella
Aliella
Aliopsis
Alistilus
Alkekengi
Allagopappus
Allagoptera
Allamanda
Allanblackia
Allantodia
Allantoma
Allantospermum
Allardia
Alleizettella
Allexis
Allittia
Allium
Allocassine
Allocheilos
Alloeochaete
Alloispermum
Allolepis
Allomaieta
Allomarkgrafia
Allomorphia
Alloneuron
Allophylastrum
Allophyllum
Allophylus
Alloplectus
Allopterigeron
Allosidastrum
Allospondias
Allostigma
Alloteropsis
Allowissadula
Allowoodsonia
Almeidea
Almutaster
Alniphyllum
Alococarpum
Aloe
Aloiampelos
Aloidendron
Alomia
Alomiella
Alonsoa
Alopecuro-veronica
Alopecurus
Alophia
Aloysia
Alphandia
Alphitonia
Alphonsea
Alpinia
Alrawia
Alseis
Alseodaphne
Alseuosmia
Alsobia
Alsodeiopsis
Alsomitra
Alsophila
Alstonia
Alstroemeria
Alzatea
Althaea
Altingia
Altoparadisium
Aluta
Alvaradoa
Alvesia
Alvimia
Alvimiantha
Alvordia
Alyogyne
Alysicarpus
Amaioua
Amalocalyx
Amalophyllon
Amana
Amanoa
Amaracarpus
Amaroria
Amaryllis
Amasonia
Amauria
Amauriopsis
Amauropelta
Ambavia
Ambelania
Amberboa
Ambilobea
Amblyanthopsis
Amblyanthus
Amblygonocarpus
Amblyocarpum
Amblyolepis
Amblyopappus
Amblyopetalum
Amblysperma
Amborella
Amboroa
Ambrosia
Ambulia
Amburana
Ameghinoa
Amelanchier
Amelasorbus
Amellus
Amentotaxus
Ameroglossum
Amesiodendron
Amethystea
Amherstia
Amianthium
Amicia
Amischotolype
Ammandra
Ammi
Ammobium
Ammocalamagrostis
Ammocharis
Ammochloa
Ammodaucus
Ammodendron
Ammoides
Ammophila
Ammopiptanthus
Ammoselinum
Amolinia
Amomum
Amomyrtella
Amomyrtus
Amoora
Amoreuxia
Amorimia
Amorpha
Amorphophallus
Amorphospermum
Ampelamus
Ampelaster
Ampelocalamus
Ampelocera
Ampelocissus
Ampelodesmos
Ampelopsis
Ampelopteris
Ampelosicyos
Ampelozizyphus
Amphiachyris
Amphiasma
Amphiblemma
Amphiblestra
Amphibromus
Amphicarpaea
Amphicarpum
Amphidasya
Amphiglossa
Amphilophium
Amphimas
Amphineurion
Amphineuron
Amphiodon
Amphipappus
Amphiphyllum
Amphipogon
Amphipterygium
Amphirrhox
Amphistemon
Amphitecna
Amphithalea
Amphoricarpos
Amphorocalyx
Amsonia
Amyrea
Amyris
Amyxa
Anacardium
Anacolosa
Anacyclus
Anadelphia
Anadenanthera
Anaectocalyx
Anagallis
Anagyris
Anakasia
Anamirta
Ananthacorus
Anaphalioides
Anaphalis
Anarthrophyllum
Anastrabe
Anatropanthus
Anaxagorea
Anaxeton
Ancathia
Anchietea
Anchusa
Ancistrachne
Ancistragrostis
Ancistrocarphus
Ancistrocarpus
Ancistrocladus
Ancistrothyrsus
Ancistrotropis
Ancylobothrys
Ancylotropis
Andeimalva
Anderbergia
Andira
Andrachne
Andreadoxa
Andriana
Andringitra
Androcalva
Androcalymma
Androcymbium
Andrographis
Andropogon
Andropterum
Androsace
Androsiphonia
Androstachys
Androstephium
Androtium
Androya
Andryala
Anechites
Anemanthele
Anemarrhena
Anemia
Anemocarpa
Anemoclema
Anemonastrum
Anemone
Anemonella
Anemonidium
Anemonoides
Anemonopsis
Anemopaegma
Anemopsis
Anerincleistus
Anetanthus
Anethum
Anetium
Aneulophus
Angadenia
Angelesia
Angelica
Anginon
Angiopteris
Angoseseli
Angostura
Angostylis
Angylocalyx
Anhaloniopsis
Aniba
Anisadenia
Aniseia
Aniselytron
Anisocampium
Anisocapparis
Anisocarpus
Anisochaeta
Anisochilus
Anisocoma
Anisocycla
Anisodontea
Anisodus
Anisomeles
Anisopappus
Anisophyllea
Anisopoda
Anisopogon
Anisopus
Anisosciadium
Anisothrix
Anisotoma
Anisotome
Anna
Annamocalamus
Annea
Annesijoa
Anneslea
Annesorhiza
Annickia
Annona
Anoda
Anodendron
Anodopetalum
Anogeissus
Anomianthus
Anomochloa
Anomospermum
Anomostachys
Anonidium
Anopteris
Anopterus
Anotea
Anredera
Antennaria
Antenoron
Anteremanthus
Anthaenantia
Anthaenantiopsis
Anthemis
Anthephora
Anthericum
Antheroporum
Antherostele
Antherothamnus
Antherotoma
Anthocarapa
Anthoceros
Anthocleista
Anthodiscus
Anthodon
Anthorrhiza
Anthosachne
Anthospermopsis
Anthospermum
Anthostema
Anthotroche
Anthoxanthum
Anthrichaerophyllum
Anthriscus
Anthyllis
Antiaris
Antiaropsis
Anticharis
Anticlea
Antidesma
Antillanthus
Antillia
Antinoria
Antiphiona
Antirhea
Antistrophe
Antizoma
Antithrixia
Antonia
Antopetitia
Antrocaryon
Antrophyum
Anvillea
Aoranthe
Apalochlamys
Aparisthmium
Apartea
Apatophyllum
Apeiba
Apera
Apetahia
Aphanactis
Aphanamixis
Aphananthe
Aphandra
Aphanes
Aphanocarpus
Aphanopleura
Aphanostephus
Aphloia
Aphyllanthes
Aphyllocladus
Aphyllodium
Apiastrum
Apiopetalum
Apios
Apium
Apluda
Apocaulon
Apochiton
Apochloa
Apoclada
Apocopis
Apocynum
Apodanthera
Apodicarpum
Apodiscus
Apodocephala
Apodolirion
Apodostigma
Apodytes
Apollonias
Apophyllum
Apoplanesia
Apopyros
Aporocactus
Aporochia
Aporosa
Aporrhiza
Aporusa
Aposeris
Apostates
Appendicularia
Appunia
Aptandra
Apteranthes
Apteria
Apterosperma
Aptosimum
Apuleia
Apurimacia
Aquilaria
Aquilegia
Arachis
Arachniodes
Arachnitis
Arachnothryx
Arafoe
Araiostegia
Aralia
Aralidium
Araliopsis
Arapatiella
Araracuara
Araucaria
Araujia
Arbelaezaster
Arberella
Arboa
Arcangelisia
Archangiopteris
Archboldiodendron
Archibaccharis
Archidendron
Archidendropsis
Archirhodomyrtus
Archontophoenix
Archytaea
Arcoa
Arctagrostis
Arctanthemum
Arcteranthis
Arcterica
Arctium
Arctodupontia
Arctogeron
Arctophila
Arctopoa
Arctopus
Arctotheca
Arctotis
Arcuatopterus
Arcynospermum
Arcytophyllum
Ardisia
Ardisiandra
Aremonia
Arenga
Arfeuillea
Argania
Argocoffeopsis
Argomuellera
Argophyllum
Argostemma
Argusia
Argylia
Argyranthemum
Argyrochosma
Argyrocytisus
Argyrodendron
Argyrolobium
Argyrovernonia
Argyroxiphium
Argythamnia
Aria
Arida
Ariocarpus
Aripuana
Aristaloe
Aristea
Aristeguietia
Aristida
Aristogeitonia
Aristotelia
Arjona
