Table S2. Dual-mycorrhizal plants with confirmed occurrence of key mycorrhizal structures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Confirmed plant species with dual status,,,,,,,,,,,,,,,,,,,,,,,,,
Family,Genus,Woody (shrub or tree) taxa?,Estimated number of plant species1,Number of confirmed species,Spp1,Spp2,Spp3,Spp4,Spp5,Spp6,Spp7,Spp8,Spp9,Spp10,Spp11,Spp12,Spp13,Spp14,Spp15,Spp16,Spp17,Spp18,Spp19,Spp20,Spp21,Spp22,Spp23,Spp24,Spp25,
Fabaceae,Pultenaea,yes,104,5,Pultenaea daphnoides,Pultenaea mollis,Pultenaea obovata,Pultenaea scabra,Pultenaea elliptica,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Viminaria,yes,1,1,Viminaria juncea,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Fagus,yes,12,1,Fagus grandifolia,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus,yes,614,7,Quercus rubra,Quercus falcata,Quercus imbricaria,Quercus alba,Quercus coccinea,Quercus palustris,Quercus agrifolia,,,,,,,,,,,,,,,,,,,
Goodeniaceae,Brunonia,yes,1,1,Brunonia australis,,,,,,,,,,,,,,,,,,,,,,,,,
Goodeniaceae,Scaevola,yes,114,1,Scaevola crassifolia,,,,,,,,,,,,,,,,,,,,,,,,,
Haloragaceae,Gonocarpus,spp. dependent,41,1,Gonocarpus mezianus,,,,,,,,,,,,,,,,,,,,,,,,,
Myricaceae,Myrica,yes,3,2,Myrica californica,Myrica cerifera,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Agonis,yes,5,1,Agonis flexuosa,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Baeckea,yes,38,2,Baeckea behrii,Baeckea crassifolia,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Callistemon,yes,46,1,Callistemon macropunctatus,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Calothamnus,yes,41,2,Calothamnus quadrifidus,Calothamnus sanguineus,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Calytrix,yes,131,1,Calytrix tetragona,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eremaea,yes,16,2,Eremaea asterocarpa,Eremaea pauciflora,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus,yes,842,25,Eucalyptus diversicolor,Eucalyptus marginata,Eucalyptus todtiana,Eucalyptus incrassata,Eucalyptus dumosa,Eucalyptus calophylla,Eucalyptus drummondii,Eucalyptus patens,Eucalyptus coccifera,Eucalyptus camaldulensis,Eucalyptus citriodora,Eucalyptus cloeziana,Eucalyptus grandis,Eucalyptus urophylla,Eucalyptus globulus,Eucalyptus obliqua,Eucalyptus viminalis,Eucalyptus tetrodonta,Eucalyptus dunnii,Eucalyptus gomphocephala,Eucalyptus pilularis,Eucalyptus polyanthemos,Eucalyptus radiata,Eucalyptus regnans,Eucalyptus alaticaulis,
Myrtaceae,Kunzea,yes,63,2,Kunzea parvifolia,Kunzea ericoides,,,,,,,,,,,,,,,,,,,,,,,,
